Verifier,Detector+Descriptor,UIF-UB (Essential Mat),UIF-UB (Fundamental Matrix)
n3net,glampoints_convopt,1.39%,0.28%
n3net,glampoints_hardnet,1.39%,0.28%
ngransac,dog_openucn,1.11%,0.83%
n3net,superpoint,1.11%,0.00%
n3net,harrislaplace_convopt,1.11%,0.56%
learned_corr,superpoint,1.11%,0.00%
oanet,surf_tfeat,1.11%,0.28%
learned_corr,mser_convopt,1.11%,0.28%
eigfree,glampoints_convopt,1.11%,0.00%
eigfree,harris_brief,0.83%,0.28%
lmeds,surf_sift,0.83%,0.00%
oanet,harrisnet_sift,0.83%,0.28%
oanet,fast_sift,0.83%,0.00%
n3net,harris_sift,0.83%,0.28%
n3net,harris_siftpca,0.83%,0.28%
oanet,fast_siftpca,0.83%,0.56%
eigfree,glampoints_siftnet,0.83%,0.28%
ransac,surf_tfeat,0.83%,0.83%
lmeds,dog_hardnet,0.83%,0.83%
learned_corr,glampoints_siftnet,0.83%,0.28%
learned_corr,harris_sift,0.83%,0.28%
ransac,dog_tfeat,0.83%,0.00%
learned_corr,dog_sift,0.83%,0.28%
learned_corr,harris_siftpca,0.83%,0.56%
learned_corr,harris_tfeat,0.83%,0.00%
oanet,dog_tfeat,0.56%,0.00%
ransac,surf_sift,0.56%,0.28%
eigfree,harris_siftpca,0.56%,0.28%
ngransac,harris_siftnet,0.56%,0.00%
oanet,dog_surf,0.56%,0.00%
ngransac,harris_rootsift,0.56%,0.28%
learned_corr,dog_siftpca,0.56%,0.28%
ngransac,harris_hardnet,0.56%,0.28%
n3net,mser_convopt,0.56%,0.00%
learned_corr,mser_rootsift,0.56%,0.00%
oanet,d2net,0.56%,0.28%
ransac,surf_siftpca,0.56%,0.00%
n3net,sift,0.56%,0.28%
n3net,harris_tfeat,0.56%,0.00%
learned_corr,surf_surf,0.56%,0.56%
n3net,harris_brief,0.56%,0.00%
n3net,glampoints_siftnet,0.56%,0.28%
eigfree,harris_sift,0.56%,0.28%
ngransac,lfnet,0.56%,0.00%
ngransac,keynet_hardnet,0.56%,0.00%
n3net,dog_siftpca,0.56%,0.28%
learned_corr,mser_hardnet,0.56%,0.28%
n3net,dog_sift,0.56%,0.28%
lmeds,surf_siftpca,0.56%,0.00%
learned_corr,mser_siftnet,0.56%,0.00%
lmeds,keynet_sift,0.56%,0.00%
lmeds,keynet_siftpca,0.56%,0.00%
lmeds,mser_rootsift,0.56%,0.56%
n3net,surf_surf,0.56%,0.00%
oanet,lift,0.56%,0.00%
oanet,mser_siftnet,0.56%,0.28%
oanet,glampoints_tfeat,0.28%,0.00%
ransac,dog_surf,0.28%,0.00%
ransac,keynet_tfeat,0.29%,0.29%
mlesac,fast_rootsift,0.28%,0.00%
eigfree,surf_surf,0.28%,0.00%
ransac,harrisnet_rootsift,0.28%,0.28%
lmeds,mser_hardnet,0.28%,0.28%
lmeds,mser_convopt,0.28%,0.28%
lmeds,dog_convopt,0.28%,0.28%
ngransac,harris_tfeat,0.28%,0.00%
ngransac,brisk,0.28%,0.00%
learned_corr,fast_sift,0.28%,0.00%
lmeds,dog_rootsift,0.28%,0.28%
eigfree,dog_siftpca,0.28%,0.00%
oanet,glampoints_hardnet,0.28%,0.00%
oanet,glampoints_convopt,0.28%,0.00%
lmeds,harris_siftnet,0.28%,0.28%
ransac,fast_hardnet,0.28%,0.28%
lmeds,fast_convopt,0.28%,0.28%
lmeds,dog_surf,0.28%,0.00%
lmeds,dog_siftnet,0.28%,0.28%
mlesac,fast_convopt,0.28%,0.00%
eigfree,mser_convopt,0.28%,0.00%
oanet,harrislaplace_hardnet,0.28%,0.28%
n3net,surf_brief,0.28%,0.00%
lmeds,surf_hardnet,0.28%,0.28%
lmeds,keynet_hardnet,0.28%,0.28%
eigfree,glampoints_rootsift,0.28%,0.00%
ransac,superpoint,0.28%,0.00%
eigfree,sift,0.28%,0.28%
eigfree,mser_hardnet,0.28%,0.00%
eigfree,superpoint,0.28%,0.00%
lmeds,superpoint,0.28%,0.00%
lmeds,glampoints_sift,0.28%,0.28%
ngransac,surf_siftnet,0.28%,0.00%
learned_corr,harrislaplace_brief,0.28%,0.00%
ngransac,harrisnet_siftpca,0.28%,0.00%
n3net,mser_siftnet,0.28%,0.00%
n3net,mser_rootsift,0.28%,0.00%
eigfree,surf_brief,0.28%,0.28%
n3net,mser_hardnet,0.28%,0.28%
ngransac,surf_tfeat,0.28%,0.00%
lmeds,contextdesc,0.28%,0.28%
lmeds,orb,0.28%,0.28%
ransac,mser_convopt,0.28%,0.28%
ransac,keynet_surf,0.00%,0.00%
ransac,keynet_siftpca,0.00%,0.00%
ngransac,harrislaplace_siftnet,0.00%,0.00%
ngransac,harrislaplace_siftpca,0.00%,0.00%
ngransac,harrislaplace_surf,0.00%,0.00%
ransac,harrislaplace_openucn,0.00%,0.00%
ransac,harrislaplace_hardnet,0.00%,0.00%
ransac,harrislaplace_convopt,0.00%,0.00%
ransac,harrislaplace_brief,0.00%,0.00%
ngransac,harrisnet_brief,0.00%,0.00%
ransac,lfnet,0.00%,0.00%
ngransac,harrisnet_openucn,0.00%,0.00%
ransac,mser_openucn,0.00%,0.00%
ransac,mser_hardnet,0.00%,0.00%
ngransac,harrisnet_sift,0.00%,0.00%
ngransac,harrisnet_rootsift,0.00%,0.00%
ransac,glampoints_siftpca,0.00%,0.00%
ransac,glampoints_surf,0.00%,0.00%
ransac,glampoints_tfeat,0.00%,0.00%
ransac,harris_brief,0.00%,0.00%
ransac,harris_convopt,0.00%,0.00%
ransac,harris_hardnet,0.00%,0.00%
ngransac,harrislaplace_tfeat,0.00%,0.00%
ngransac,harrisnet_hardnet,0.00%,0.00%
ngransac,harrisnet_convopt,0.00%,0.00%
ngransac,harrislaplace_sift,0.00%,0.00%
ransac,harris_openucn,0.00%,0.00%
ransac,harris_rootsift,0.00%,0.00%
ransac,harris_siftnet,0.00%,0.00%
ransac,mser_brief,0.00%,0.00%
ransac,lift,0.00%,0.00%
ransac,harris_surf,0.00%,0.00%
ransac,harrislaplace_rootsift,0.00%,0.00%
ngransac,glampoints_hardnet,0.00%,0.00%
ransac,keynet_siftnet,0.00%,0.00%
ngransac,glampoints_convopt,0.00%,0.00%
ransac,harrisnet_openucn,0.00%,0.00%
ngransac,harris_convopt,0.00%,0.00%
ngransac,harris_brief,0.00%,0.00%
ngransac,glampoints_tfeat,0.00%,0.00%
ransac,harrisnet_siftnet,0.00%,0.00%
ngransac,glampoints_surf,0.00%,0.00%
ngransac,glampoints_siftpca,0.00%,0.00%
ngransac,glampoints_siftnet,0.00%,0.00%
ngransac,harrislaplace_rootsift,0.00%,0.00%
ngransac,glampoints_sift,0.00%,0.00%
ngransac,glampoints_rootsift,0.00%,0.00%
ngransac,glampoints_openucn,0.00%,0.00%
ransac,harrisnet_surf,0.00%,0.00%
ransac,kaze,0.00%,0.00%
ransac,keynet_brief,0.00%,0.00%
ransac,keynet_convopt,0.00%,0.00%
ngransac,harris_openucn,0.00%,0.00%
ngransac,glampoints_brief,0.00%,0.00%
ngransac,fast_tfeat,0.00%,0.00%
ransac,harrisnet_convopt,0.00%,0.00%
ransac,keynet_sift,0.00%,0.00%
ransac,harrislaplace_sift,0.00%,0.00%
ransac,harrislaplace_siftnet,0.00%,0.00%
ngransac,harrislaplace_openucn,0.00%,0.00%
ransac,harrislaplace_siftpca,0.00%,0.00%
ransac,keynet_rootsift,0.00%,0.00%
ngransac,harrislaplace_hardnet,0.00%,0.00%
ngransac,harrislaplace_convopt,0.00%,0.00%
ngransac,harrislaplace_brief,0.00%,0.00%
ransac,keynet_hardnet,0.00%,0.00%
ransac,keynet_openucn,0.00%,0.00%
ransac,harrislaplace_surf,0.00%,0.00%
ransac,harrislaplace_tfeat,0.00%,0.00%
ransac,harrisnet_brief,0.00%,0.00%
ngransac,harris_surf,0.00%,0.00%
ransac,harrisnet_hardnet,0.00%,0.00%
ngransac,lift,0.00%,0.00%
ransac,glampoints_siftnet,0.00%,0.00%
oanet,harrislaplace_siftnet,0.00%,0.00%
